#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2458273.5286476864 	 1.2960000000 	 -0.0941222006 	 2.8950450930 	 45.6416882830 	 333.3136225257 
2458273.5293536386 	 1.3000000000 	 -0.1007248702 	 2.7836036959 	 44.1339212325 	 333.1770489077 
2458273.5300595914 	 1.3040000000 	 -0.1069114112 	 2.8686627932 	 44.7571539002 	 333.2324672890 
2458273.5307655442 	 1.3080000000 	 -0.1125802374 	 2.8832212771 	 44.0724555393 	 333.2937988163 
2458273.5314714964 	 1.3120000000 	 -0.1174814826 	 3.0005181841 	 45.8345796752 	 333.1428919574 
2458273.5321774492 	 1.3160000000 	 -0.1213399915 	 2.8032680806 	 44.9614934082 	 333.2364832532 
2458273.5328834015 	 1.3200000000 	 -0.1240575593 	 2.7258261407 	 45.1481334294 	 333.2174829602 
2458273.5335893543 	 1.3250000000 	 -0.1258562056 	 2.9791563723 	 46.8854570260 	 333.2591206798 
2458273.5342953070 	 1.3290000000 	 -0.1272643488 	 2.8142576240 	 46.1933194222 	 333.1750258796 
2458273.5349896862 	 1.3330000000 	 -0.1289494618 	 2.8472520387 	 45.3112576480 	 333.1906798214 
2458273.5356956390 	 1.3370000000 	 -0.1314881537 	 3.0153484747 	 45.7421958263 	 333.2500755660 
2458273.5364015917 	 1.3420000000 	 -0.1351972723 	 3.0441845628 	 45.7493750686 	 333.1587317733 
2458273.5371075440 	 1.3460000000 	 -0.1400975782 	 2.9668160747 	 47.3550896838 	 333.2173903229 
2458273.5378134968 	 1.3510000000 	 -0.1460025574 	 3.0807580747 	 46.9133116451 	 333.2351350644 
2458273.5385078760 	 1.3550000000 	 -0.1526554313 	 2.9794747376 	 47.5658852155 	 333.2431120532 
2458273.5392138287 	 1.3600000000 	 -0.1598310567 	 3.1528914912 	 47.2397364937 	 333.2878047842 
2458273.5399197815 	 1.3640000000 	 -0.1673660241 	 2.7990804170 	 46.2841927308 	 333.2929101256 
2458273.5406257338 	 1.3690000000 	 -0.1751330193 	 2.9823503160 	 46.2884850419 	 333.3180189085 
